heart_rate,timestamp,date
44,07:40,2024-12-29
44,07:42,2024-12-29
45,07:44,2024-12-29
44,07:46,2024-12-29
44,07:48,2024-12-29
49,07:50,2024-12-29
46,07:52,2024-12-29
49,07:54,2024-12-29
51,07:56,2024-12-29
47,07:58,2024-12-29
45,08:00,2024-12-29
45,08:02,2024-12-29
44,08:04,2024-12-29
46,08:06,2024-12-29
45,08:08,2024-12-29
45,08:10,2024-12-29
46,08:12,2024-12-29
46,08:14,2024-12-29
46,08:16,2024-12-29
47,08:18,2024-12-29
48,08:20,2024-12-29
48,08:22,2024-12-29
48,08:24,2024-12-29
48,08:26,2024-12-29
48,08:28,2024-12-29
48,08:30,2024-12-29
47,08:32,2024-12-29
48,08:34,2024-12-29
48,08:36,2024-12-29
49,08:38,2024-12-29
49,08:40,2024-12-29
48,08:42,2024-12-29
49,08:44,2024-12-29
50,08:46,2024-12-29
53,08:48,2024-12-29
54,08:50,2024-12-29
47,08:52,2024-12-29
47,08:54,2024-12-29
48,08:56,2024-12-29
47,08:58,2024-12-29
46,09:00,2024-12-29
46,09:02,2024-12-29
49,09:04,2024-12-29
51,09:06,2024-12-29
50,09:08,2024-12-29
50,09:10,2024-12-29
47,09:12,2024-12-29
48,09:14,2024-12-29
49,09:16,2024-12-29
47,09:18,2024-12-29
46,09:20,2024-12-29
60,00:10,2024-12-30
58,00:12,2024-12-30
58,00:14,2024-12-30
59,00:16,2024-12-30
60,00:18,2024-12-30
59,00:20,2024-12-30
58,00:22,2024-12-30
58,00:24,2024-12-30
59,00:26,2024-12-30
59,00:28,2024-12-30
59,00:30,2024-12-30
59,00:32,2024-12-30
58,00:34,2024-12-30
59,00:36,2024-12-30
59,00:38,2024-12-30
59,00:40,2024-12-30
58,00:42,2024-12-30
58,00:44,2024-12-30
58,00:46,2024-12-30
58,00:48,2024-12-30
58,00:50,2024-12-30
58,00:52,2024-12-30
57,00:54,2024-12-30
56,00:56,2024-12-30
57,00:58,2024-12-30
58,01:00,2024-12-30
58,01:02,2024-12-30
58,01:04,2024-12-30
58,01:06,2024-12-30
57,01:08,2024-12-30
58,01:10,2024-12-30
57,01:12,2024-12-30
62,01:14,2024-12-30
58,01:16,2024-12-30
53,01:18,2024-12-30
55,01:20,2024-12-30
56,01:22,2024-12-30
57,01:24,2024-12-30
58,01:26,2024-12-30
58,01:28,2024-12-30
57,01:30,2024-12-30
56,01:32,2024-12-30
56,01:34,2024-12-30
59,01:36,2024-12-30
57,01:38,2024-12-30
